#interaction	gene1	gene2	dir	sign	pubmed
hiv_human	E155908	E23046	0	0	pmids:22190034
hiv_human	E10806	E155030	0	0	pmids:22190034
hiv_human	E155871	E25940	0	0	pmids:22190034
hiv_human	E156110	E57222	0	0	pmids:22190034
hiv_human	E155348	E6301	0	0	pmids:22190034
hiv_human	E155971	E51290	0	0	pmids:22190034
hiv_human	E155945	E5591	0	0	pmids:22190034
hiv_human	E155971	E80267	0	0	pmids:22190034
hiv_human	E155459	E8453	0	0	pmids:22190034
hiv_human	E155348	E9601	0	0	pmids:22190034
hiv_human	E155030	E2058	0	0	pmids:22190034
hiv_human	E155945	E7514	0	0	pmids:22190034
hiv_human	E155945	E57142	0	0	pmids:22190034
hiv_human	E155348	E3646	0	0	pmids:22190034
hiv_human	E155971	E8974	0	0	pmids:22190034
hiv_human	E155971	E6388	0	0	pmids:22190034
hiv_human	E155348	E5426	0	0	pmids:22190034
hiv_human	E10565	E155945	0	0	pmids:22190034
hiv_human	E10113	E155945	0	0	pmids:22190034
hiv_human	E155971	E7841	0	0	pmids:22190034
hiv_human	E10797	E156110	0	0	pmids:22190034
hiv_human	E155030	E23438	0	0	pmids:22190034
hiv_human	E155807	E8487	0	0	pmids:22190034
hiv_human	E155459	E80344	0	0	pmids:22190034
hiv_human	E155348	E23293	0	0	pmids:22190034
hiv_human	E10476	E155945	0	0	pmids:22190034
hiv_human	E155348	E23299	0	0	pmids:22190034
hiv_human	E155030	E7965	0	0	pmids:22190034
hiv_human	E10615	E155971	0	0	pmids:22190034
hiv_human	E155971	E79188	0	0	pmids:22190034
hiv_human	E155971	E55969	0	0	pmids:22190034
hiv_human	E11218	E155807	0	0	pmids:22190034
hiv_human	E155945	E55340	0	0	pmids:22190034
hiv_human	E10728	E155945	0	0	pmids:22190034
